name,district,price,bedroom,wc,acreage,link,date
"Hẻm ÔTô Tránh LÝ THƯỜNG KIỆT, Q.Tân Bình, 111m2, 5Tầng, Có Thang Máy","Quận Tân Bình, TPHCM",19 tỷ,4 PN,4 WC,108 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-oto-tranh-ly-thuong-kiet-q-tan-binh-111m2-5tang-co-thang-may-id21459237,2024-04-25
"Bán nhà mặt tiền ngang 5m, cộng hòa P13 tân bình 140m2 nhỉnh 8 tỷ.TL","Quận Tân Bình, TPHCM",8 triệu 700 nghìn,9 PN,6 WC,111 m2,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-mat-tien-ngang-5m-cong-hoa-p13-tan-binh-140m2-nhinh-8-ty-tl-id22499177,2024-04-25
"Bán nhà 3T x 45m2, hẻm 1 SEC., 50m ra Tân Thới Hiệp 21, Q12, chỉ 3.5tỷ","Quận 12, TPHCM",3 tỷ 500 triệu,5 PN,4 WC,140 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-3t-x-45m2-hem-1-sec-50m-ra-tan-thoi-hiep-21-q12-chi-3-5ty-id22508834,2024-04-25
"Bán Nhà 1 trệt 2 lầu, 1sẹc đường Hoàng Hữu Nam, Long Thạnh Mỹ, Q9","Quận 9 (TP. Thủ Đức), TPHCM",4 tỷ 850 triệu,4 PN,3 WC,45 m2,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-1-tret-2-lau-1sec-duong-hoang-huu-nam-long-thanh-my-q9-id22319791,2024-04-25
Bán biệt thự MT Võ Trường Toản An Phú Quận 2.10x15m. 42 tỷ,"Quận 2 (TP. Thủ Đức), TPHCM",42 tỷ,4 PN,4 WC,61 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-mt-vo-truong-toan-an-phu-quan-2-10x15m-42-ty-id22534560,2024-04-25
Siêu phẩm Bình Thạnh cập cảng -45m2 – 2 tầng – nhà đẹp như hoa hậu,"Quận Bình Thạnh, TPHCM",4 tỷ 790 triệu,4 PN,4 WC,150 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/sieu-pham-binh-thanh-cap-cang-45m2-2-tang-nha-dep-nhu-hoa-hau-id22538987,2024-04-25
Nhà tân thới hiệp 21 quận 12 chỉ 3 tỷ 9 hẻm ô tô thông- 2 tầng- 55m2,"Quận 12, TPHCM",3 tỷ 900 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/nha-tan-thoi-hiep-21-quan-12-chi-3-ty-9-hem-o-to-thong-2-tang-55m2-id22525468,2024-04-25
Gấp Bán Nhà Mặt Tiền Đông Hưng Thuận chỉ 7 Tỷ 9- Quận 12 - 4x20m - Kin,"Quận 12, TPHCM",7 tỷ 900 triệu,2 PN,2 WC,55 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/gap-ban-nha-mat-tien-dong-hung-thuan-chi-7-ty-9-quan-12-4x20m-kin-id22461010,2024-04-25
Mặt Tiền Đường 64 Bình Phú Q6 ( 4 * 17 ) 4 Lầu 9.7 tỷ,"Quận 6, TPHCM",9 tỷ 700 triệu,2 PN,2 WC,80 m2,https://mogi.vn/quan-6/mua-nha-mat-tien-pho/mat-tien-duong-64-binh-phu-q6-4-17-4-lau-9-7-ty-id22530906,2024-04-25
Bán nhà góc 2MT Nguyễn Trãi Quận 1 ngay vòng xoay Cống Quỳnh giá 30 tỷ,"Quận 1, TPHCM",30 tỷ,4 PN,3 WC,72 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/ban-nha-goc-2mt-nguyen-trai-quan-1-ngay-vong-xoay-cong-quynh-gia-30-ty-id22491906,2024-04-25
